month,name,market,revenue
2015-01-01,Mrs. Teresa Black,other,-47.07597154275766
2015-01-01,Dustin Allen,sf-bay-area,226.36153052598297
2015-02-01,Kaylee Jones,sf-bay-area,791.7618031067676
2015-02-01,Natalie Hicks,sf-bay-area,545.8463595500734
2015-02-01,Matthew Newman,sf-bay-area,202.65751521757744
2015-02-01,Dakota Woods,sf-bay-area,1274.9131470616007
2015-02-01,Travis Clark,other,-6.395674905814609
2015-02-01,George Johnson,sf-bay-area,2020.5457160415738
2015-02-01,Anthony Hicks,sf-bay-area,549.0699555070262
2015-02-01,Robert Hill,sf-bay-area,153.57161708206885
2015-03-01,Jesus Thompson,sf-bay-area,782.8604807195619
2015-03-01,James Wright,sf-bay-area,473.95154579170014
2015-03-01,Patrick Martinez,sf-bay-area,220.28251919431858
2015-03-01,Diane Wilson,sf-bay-area,1506.9860894389908
2015-03-01,Kimberly Reed,sf-bay-area,573.1902307708518
2015-03-01,David Hubbard,sf-bay-area,177.14589943951069
2015-03-01,Kathleen Mcconnell,sf-bay-area,151.1708690663825
2015-04-01,Richard Lee,sf-bay-area,299.9303849927138
2015-04-01,Yvonne Allen,sf-bay-area,276.73383766648595
2015-04-01,Katie Price,sf-bay-area,378.7658882028122
2015-04-01,Kristen Wheeler,sf-bay-area,2924.2496292086716
2015-04-01,John Holmes DDS,kansas-city,752.6135798089324
2015-04-01,David Smith,kansas-city,683.2626559271134
2015-04-01,Elizabeth Mills,sf-bay-area,482.14406811086087
2015-04-01,Raymond Scott,kansas-city,869.3009531607346
2015-04-01,Randy Johnson,sf-bay-area,1078.6136303708136
2015-04-01,Kyle Hoffman,kansas-city,256.69706794161937
2015-04-01,Mackenzie Smith,sf-bay-area,2447.404291557559
2015-04-01,Philip Burch,sf-bay-area,2459.78342736363
2015-04-01,Tina Taylor,sf-bay-area,480.40430397560317
2015-04-01,Eric Adams,kansas-city,361.31517622231456
2015-04-01,Miss Patricia Griffin,sf-bay-area,361.6385891050928
2015-04-01,Mr. Gregory Davis DDS,sf-bay-area,1531.5486864301854
2015-04-01,Nathan Valdez,sf-bay-area,1295.2272538309978
2015-04-01,Matthew Davis,sf-bay-area,152.49571174029376
2015-04-01,Jessica Cooper,sf-bay-area,1492.4981534242395
2015-04-01,Cindy Rivera,sf-bay-area,752.6763002799734
2015-04-01,Eric Davis,sf-bay-area,203.34876301659247
2015-04-01,Bradley Rasmussen,kansas-city,184.64258510315173
2015-05-01,Norman Rodriguez,sf-bay-area,294.46595418261745
2015-05-01,Nicole Short,sf-bay-area,241.00365986137697
2015-05-01,Dana Mendez,sf-bay-area,532.5600426483404
2015-05-01,Scott Chan,sf-bay-area,3519.068503840896
2015-05-01,Aaron Mcconnell,kansas-city,760.2503711877407
2015-05-01,Jennifer Glass,kansas-city,1334.3031914191506
2015-05-01,William Davis,kansas-city,141.06425993278413
2015-05-01,Mr. Dylan Robinson,kansas-city,274.51169341996547
2015-05-01,James Williams,sf-bay-area,1200.1401144010931
2015-05-01,Molly Sherman,sf-bay-area,3038.8727843213474
2015-05-01,Carrie Brown,sf-bay-area,1480.7688048545929
2015-05-01,John Ray,sf-bay-area,1307.4721702629733
2015-05-01,Jane Ballard,kansas-city,584.4106380316509
2015-05-01,Sergio Ray,sf-bay-area,1973.5084149159993
2015-05-01,Robert Martin,sf-bay-area,1728.94067282415
2015-05-01,Megan West,sf-bay-area,3459.356468838268
2015-05-01,Dennis Johnson,sf-bay-area,2709.757753044322
2015-05-01,Russell Farmer,sf-bay-area,2748.7343138054466
2015-05-01,Nicholas Sosa,sf-bay-area,1931.3422175219835
2015-05-01,Stacy Olsen,sf-bay-area,456.2039845626094
2015-05-01,Sue Brown,sf-bay-area,1042.0509138487585
2015-05-01,Adam Spencer,sf-bay-area,284.37691533771704
2015-05-01,Jessica Taylor,sf-bay-area,768.7431758791082
2015-05-01,Ross Reyes,kansas-city,293.5843989628826
2015-06-01,Brian Underwood,sf-bay-area,3201.3396295435014
2015-06-01,Craig Turner,sf-bay-area,292.3209813054657
2015-06-01,Nicholas Hunt,sf-bay-area,799.054548683367
2015-06-01,William Durham,sf-bay-area,4271.824698731065
2015-06-01,Michael Jones,sf-bay-area,497.11089630580267
2015-06-01,Kyle Collins,kansas-city,676.8603778522995
2015-06-01,Kevin Trujillo,kansas-city,764.7158858850437
2015-06-01,Rachael Lam,sf-bay-area,229.30753041278047
2015-06-01,Michael Mills,kansas-city,759.0824898159896
2015-06-01,Tamara Guzman,sf-bay-area,4210.693215133041
2015-06-01,Robert Sims,sf-bay-area,714.0216849146987
2015-06-01,Stephen Santos,sf-bay-area,2308.0709481411413
2015-06-01,Matthew Campbell,sf-bay-area,757.4363565665365
2015-06-01,Edward Martinez,kansas-city,265.047995489494
2015-06-01,Karen Reyes,sf-bay-area,568.0965533146434
2015-06-01,Jacqueline Buchanan,sf-bay-area,3043.5265397220974
2015-06-01,Kelly Young,sf-bay-area,4523.607230347257
2015-06-01,Lucas Banks,sf-bay-area,1516.9924948323915
2015-06-01,Ryan Williams Jr.,sf-bay-area,1993.6744094074734
2015-06-01,Mary Lowery,sf-bay-area,1657.2304643368566
2015-06-01,Dr. Kristine Swanson DDS,sf-bay-area,113.60590688232256
2015-06-01,Brett Delgado,sf-bay-area,155.18985389473065
2015-06-01,Makayla Johnson,sf-bay-area,2470.6964746724398
2015-06-01,Karen Wright,sf-bay-area,1722.3773365875807
2015-06-01,William Reeves,sf-bay-area,1433.554713902858
2015-06-01,Janet Chen,sf-bay-area,1978.5484635780788
2015-06-01,Kimberly Sharp,sf-bay-area,614.4467056670716
2015-06-01,James Morris,sf-bay-area,2562.3113789106033
2015-06-01,Norma Bennett,sf-bay-area,216.6085196998913
2015-06-01,Gregory Merritt,sf-bay-area,2646.0474568950426
2015-06-01,Stephanie Rice,sf-bay-area,411.24616095480553
2015-06-01,Benjamin Thompson,sf-bay-area,651.8506812516632
2015-06-01,Todd Walker,sf-bay-area,2178.0161851965095
2015-06-01,Isaac Malone,sf-bay-area,1131.3940831169436
2015-06-01,Kimberly Jones,sf-bay-area,1843.5513285672841
2015-06-01,Justin Anderson,sf-bay-area,2056.029061861825
2015-06-01,Michael Leon,sf-bay-area,839.1708671876248
2015-06-01,Brenda Roberts DDS,sf-bay-area,1295.2144742422802
2015-06-01,Zachary Richards,sf-bay-area,1151.7923922602752
2015-06-01,Eric Norton,sf-bay-area,511.7271979297456
2015-06-01,Ann Montoya,sf-bay-area,389.00833166610306
2015-06-01,Matthew Jones,sf-bay-area,143.04585913294227
2015-06-01,Jennifer Anderson,kansas-city,400.85612072615544
2015-07-01,Brandy Jensen,sf-bay-area,2747.3503500383613
2015-07-01,Michael Lee,sf-bay-area,759.4042984787241
2015-07-01,Jennifer Burke,sf-bay-area,1217.7730820562385
2015-07-01,Marisa Carter,sf-bay-area,4648.728033279521
2015-07-01,Rita Davis,sf-bay-area,695.5329631936847
2015-07-01,Brent Jones,kansas-city,2690.1995773935214
2015-07-01,Dana Evans,kansas-city,483.0883405386737
2015-07-01,Robert Brennan,kansas-city,1370.6453897419372
2015-07-01,Brianna Chen,sf-bay-area,1104.4206319346617
2015-07-01,Micheal Phillips,sf-bay-area,2710.4868882082746
2015-07-01,Jane Deleon,sf-bay-area,2085.346432635822
2015-07-01,Michael Washington,sf-bay-area,506.1195904180895
2015-07-01,Jeremy Cline,sf-bay-area,1740.8672484104975
2015-07-01,John Sullivan,sf-bay-area,3333.3330477903364
2015-07-01,Crystal Mcintosh,sf-bay-area,631.461338057705
2015-07-01,Robert Lowery DDS,sf-bay-area,1039.5370249900973
2015-07-01,Rachel Booker,sf-bay-area,2296.997028917721
2015-07-01,Charles Richard,sf-bay-area,3059.8252710070587
2015-07-01,Melinda White,sf-bay-area,3300.5835214082363
2015-07-01,Lauren Glenn,sf-bay-area,26.406321411428607
2015-07-01,Meghan Long,sf-bay-area,3691.7840062540945
2015-07-01,Matthew Perry,sf-bay-area,2749.087036259714
2015-07-01,Kristin Mcdaniel,sf-bay-area,939.8457434387568
2015-07-01,Jeremy Montgomery,sf-bay-area,212.68743979095936
2015-07-01,James Caldwell,sf-bay-area,3861.2121489657275
2015-07-01,Melissa Patel,sf-bay-area,514.4014319975566
2015-07-01,Rhonda Bell,sf-bay-area,3645.529057174055
2015-07-01,Matthew Holt,sf-bay-area,1246.617862053946
2015-07-01,Pamela Howell,sf-bay-area,3617.307918821251
2015-07-01,Joseph Garrison,sf-bay-area,3422.436148672454
2015-07-01,Mary Perez,sf-bay-area,3147.55138762105
2015-07-01,Richard Stewart,sf-bay-area,1267.5085136239027
2015-07-01,Kathleen Garcia,sf-bay-area,178.64257712209852
2015-07-01,Timothy Acosta,sf-bay-area,614.8719934762697
2015-07-01,Katherine Mclean,sf-bay-area,2135.0108534943406
2015-07-01,Mrs. Colleen Chambers,kansas-city,713.0915206683621
2015-07-01,Danielle Brown,sf-bay-area,536.4929168096119
2015-07-01,Tammy Lopez,sf-bay-area,2727.753535673642
2015-07-01,Kathy King,sf-bay-area,4097.725153936359
